ID,recycling location name,address,city,zip,countyID,phone,full address,lat,lon
42,J L Recycling,3912 Delta Fair Blvd,Antioch,94509,06013,(916) 459-0814,"3912 Delta Fair Blvd Antioch, CA 94509",38.0034293,-121.8462354
43,JL Recycling,1725 Cavallo Rd,Antioch,94509,06013,(916) 459-0814,"1725 Cavallo Rd Antioch, CA 94509",38.0053741,-121.7964814
44,Our Planet Recycling SF,445V Bayshore Blvd,San Francisco,94124,06075,(415) 866-6102,"445V Bayshore Blvd San Francisco, CA 94124",37.7383515,-122.4073489
45,Our Planet Recycling SF LLC,445V Bayshore Blvd,San Francisco,94124,06075,(415) 866-6102,"445V Bayshore Blvd San Francisco, CA 94124",37.7383515,-122.4073489
46,Pacific Recycling,301 4Th St,Richmond,94801,06013,(916) 583-3301,"301 4Th St Richmond, CA 94801",37.9359172,-122.3659829
47,Pacific Recycling,14301 San Pablo Ave,San Pablo,94806,06013,(916) 583-3301,"14301 San Pablo Ave San Pablo, CA 94806",37.9645932,-122.3455061
48,Pavels Recycling LLC,3600 Lone Tree Way,Antioch,94509,06013,(916) 621-0354,"3600 Lone Tree Way Antioch, CA 94509",37.9865930,-121.8074240
49,Pleasant Hill Recycling Center,1320 Galaxy Way,Concord,94520,06013,(925) 689-3900,"1320 Galaxy Way Concord, CA 94520",37.9762911,-122.0496961
50,Recycling Zone Inc,3300 Pacheco Blvd,Martinez,94553,06013,(925) 216-8640,"3300 Pacheco Blvd Martinez, CA 94553",38.0119296,-122.1093622
51,Recycling Zone Inc,181A Clark Ave,Pittsburg,94565,06013,(707) 437-1301,"181A Clark Ave Pittsburg, CA 94565",38.0143313,-121.8869899
52,Sun's Pad & Foam Recycling,108 Medburn St B1,Concord,94520,06013,(925) 246-7990,"108 Medburn St B1 Concord, CA 94520",38.0214903,-122.0266023
53,Sunset Recycling Center,345 Williams Ave,San Francisco,94124,06075,(818) 661-7387,"345 Williams Ave San Francisco, CA 94124",37.7297940,-122.3988452
54,VALCORE Recycling,38 Sheridan St,Vallejo,94590,06095,(707) 645-8258,"38 Sheridan St Vallejo, CA 94590",38.0957792,-122.2465446
55,West Resource Recovery,101 Pittsburg Ave,Richmond,94801,06013,(510) 231-4203,"101 Pittsburg Ave Richmond, CA 94801",37.9626757,-122.3681525
56,Hambro Recycling,445 Elk Valley Rd,Crescent City,95531,06015,(707) 464-6131,"445 Elk Valley Rd Crescent City, CA 95531",41.7534926,-124.1753086
57,Auburn Recycling & Scrap Metals Inc,350 Sacramento St,Auburn,95603,06061,(530) 889-2267,"350 Sacramento St Auburn, CA 95603",38.8877125,-121.0764706
58,El Dorado Disposal,4421 Latrobe Road,El Dorado Hills,95762,06017,(530) 626-4141,"4421 Latrobe Road El Dorado Hills, CA 95762",38.6402296,-121.0638642
59,J L Recycling,13384 Lincoln Way,Auburn,94063,06061,(916) 459-0814,"13384 Lincoln Way Auburn, CA 94063",38.9240428,-121.0540688
60,Town Clean Recycle Center,3907 Missouri Flat Rd,Placerville,95667,06017,(775) 223-9216,"3907 Missouri Flat Rd Placerville, CA 95667",38.7140683,-120.8422228
61,Town Clean Recycle Center,1600 Broadway,Placerville,95667,06017,(775) 223-9216,"1600 Broadway Placerville, CA 95667",38.7330898,-120.7723098
62,Town Clean Recycle Center,6049 Front St,Georgetown,95634,06017,(775) 223-9216,"6049 Front St Georgetown, CA 95634",38.9094101,-120.8517786
63,A & S Metals,2901 N Highway 59,Merced,95348,06047,(209) 722-7527,"2901 N Highway 59 Merced, CA 95348",37.3168035,-120.5058373
64,A & S Metals,644 E Olive Ave,Madera,93638,06039,(831) 633-3379,"644 E Olive Ave Madera, CA 93638",36.9523935,-120.0482023
65,A & S Metals Inc,2510 Technology Dr,Los Banos,93635,06047,(209) 829-1943,"2510 Technology Dr Los Banos, CA 93635",37.0549084,-120.8172323
66,A 1 Recycling,21282 S Marks Ave,Riverdale,93656,06019,(559) 309-1001,"21282 S Marks Ave Riverdale, CA 93656",36.4268301,-119.8505226
67,AAA Recycling,875 Atwater Blvd,Atwater,95301,06047,(209) 261-3545,"875 Atwater Blvd Atwater, CA 95301",37.3451634,-120.6062003
68,AAA Recycling,16385 W Schendel Ave,Delhi,95315,06047,(209) 261-3545,"16385 W Schendel Ave Delhi, CA 95315",37.4259455,-120.7844734
69,AAA Recycling,242 N Main St,Livingston,95334,06047,(209) 261-3545,"242 N Main St Livingston, CA 95334",37.3887575,-120.7208549
70,AAA Recycling LLC,455 W 15Th St,Merced,95340,06047,(209) 261-3545,"455 W 15Th St Merced, CA 95340",37.2992165,-120.4839545
71,AD Recycling Kingsburg,909 Sierra St,Kingsburg,93631,06019,(559) 696-6349,"909 Sierra St Kingsburg, CA 93631",36.5190977,-119.5588017
72,Al's Uhaul and Propane,100 S 19 1/2 Ave,Lemoore,93245,06031,(559) 924-0345,"100 S 19 1/2 Ave Lemoore, CA 93245",36.2972136,-119.8074336
73,Aleman Recycling,9168 Avenue 416,Dinuba,93618,06107,(559) 726-9773,"9168 Avenue 416 Dinuba, CA 93618",36.5459740,-119.3685570
74,Alfa Recycling Co,772 W Inyo Ave,Tulare,93274,06107,(408) 464-2346,"772 W Inyo Ave Tulare, CA 93274",36.2039299,-119.3578822
75,Allan Co,2607 E Woodward St,Fresno,93721,06019,(559) 264-4805,"2607 E Woodward St Fresno, CA 93721",36.7227958,-119.7801391
76,Allan Co,2525 S Sunland Ave,Fresno,93725,06019,(559) 264-4804,"2525 S Sunland Ave Fresno, CA 93725",36.7111933,-119.7668994
77,American Recycling,6981 Winton Way,Winton,95388,06047,(209) 947-0477,"6981 Winton Way Winton, CA 95388",37.3889343,-120.6138259
78,Andrade Recycling,19847 Orange Belt Dr,Strathmore,93267,06107,(559) 719-9987,"19847 Orange Belt Dr Strathmore, CA 93267",36.1497468,-119.0627841
79,Ashley Recycling,24117 Avenue 9,Madera,93637,06039,(559) 718-9455,"24117 Avenue 9 Madera, CA 93637",36.8805245,-120.1099826
80,Bairos Recycling Inc,2788 S Orange Ave,Fresno,93725,06019,(559) 233-0922,"2788 S Orange Ave Fresno, CA 93725",36.7000069,-119.7662017
81,BC Recycling Inc,1043 E Houston Ave,Visalia,93292,06107,(559) 735-9200,"1043 E Houston Ave Visalia, CA 93292",36.3414004,-119.2811728
82,BC Recycling Inc,250 E Antelope Ave,Woodlake,93286,06107,(559) 735-9200,"250 E Antelope Ave Woodlake, CA 93286",36.4165131,-119.0968074
83,BC Recycling Inc,1357 S K St,Tulare,93274,06107,(559) 735-9200,"1357 S K St Tulare, CA 93274",36.1935203,-119.3433195
84,BC Recycling Inc,5201 W Goshen Ave,Visalia,93291,06107,(559) 735-9200,"5201 W Goshen Ave Visalia, CA 93291",36.3399777,-119.3488090
85,Belen's Recycling,796 Fresno St,Parlier,93648,06019,(559) 481-3330,"796 Fresno St Parlier, CA 93648",36.6110900,-119.5295540
86,Belen's Recycling,13639 E Manning Ave,Parlier,93648-9743,06019,(559) 481-3330,"13639 E Manning Ave Parlier, CA 93648-9743",36.6038875,-119.5465118
87,Boomerang Recycling Center,187 W Olive Ave,Porterville,93257,06107,(559) 781-7124,"187 W Olive Ave Porterville, CA 93257",36.0643102,-119.0209160
88,Browns Supply Inc,219 Wye Rd,Bishop,93514,06027,(760) 872-6911,"219 Wye Rd Bishop, CA 93514",37.3764910,-118.3931952
89,Brunos Iron and Metal LP,3211 S Golden State Blvd,Fresno,93725,06019,(559) 233-6543,"3211 S Golden State Blvd Fresno, CA 93725",36.6881303,-119.7480330
90,Buy Back Inc,1405 W Shields Ave,Fresno,93705,06019,(559) 706-2096,"1405 W Shields Ave Fresno, CA 93705",36.7788093,-119.8277474
91,C & T Recycling,605 E Date Ave,Porterville,93257,06107,(559) 359-3222,"605 E Date Ave Porterville, CA 93257",36.0583063,-119.0036014
92,Cal State Recycling,104 N 11Th Ave,Hanford,93230,06031,(559) 871-0184,"104 N 11Th Ave Hanford, CA 93230",36.3242455,-119.6556318
93,California Recycling Center,1642 Elgin Ave,Dos Palos,93620,06047,(559) 871-8329,"1642 Elgin Ave Dos Palos, CA 93620",36.9845605,-120.6366181
94,Calstate Recycling Inc,64 Visalia St,Hanford,93230,06031,(559) 975-3634,"64 Visalia St Hanford, CA 93230",36.3282870,-119.6398217
95,Calwa Recycling,4545 E Church Ave,Fresno,93725,06019,(559) 824-5996,"4545 E Church Ave Fresno, CA 93725",36.7155093,-119.7496888
96,Carlos & Porfirio Recycling,857 Skyline Blvd,Avenal,93204,06031,(559) 410-0910,"857 Skyline Blvd Avenal, CA 93204",36.0067181,-120.1246011
97,Central Valley Recycling,1367 Marion St,Kingsburg,93631,06019,(559) 305-9337,"1367 Marion St Kingsburg, CA 93631",36.5130113,-119.5514512
98,Clovis Recycling,1059 Hoblitt Ave,Clovis,93612,06019,(559) 299-8807,"1059 Hoblitt Ave Clovis, CA 93612",36.8148195,-119.6952982
99,Clovis Recycling Center,710 Jefferson Ave,Clovis,93612,06019,(559) 299-7485,"710 Jefferson Ave Clovis, CA 93612",36.8171975,-119.6992762
100,Cornerstone Industries Recycling #1,13747 6Th St,Armona,93202,06031,(559) 583-2033,"13747 6Th St Armona, CA 93202",36.3150578,-119.7047374
101,Cornerstone Industries Recycling #2,11360 S 10Th Ave,Hanford,93230,06031,(559) 583-2033,"11360 S 10Th Ave Hanford, CA 93230",36.3082496,-119.6372949
102,Cosecha Recycling,1397 E Springville Ave,Porterville,93257,06107,(559) 793-6712,"1397 E Springville Ave Porterville, CA 93257",36.0545554,-118.9863790
103,Cosecha Recycling #2,1091 W Olive Ave,Porterville,93257,06107,(559) 791-1354,"1091 W Olive Ave Porterville, CA 93257",36.0648315,-119.0416228
104,Curbside Recycling,4825 E Olive Ave,Fresno,93727,06019,(559) 718-3690,"4825 E Olive Ave Fresno, CA 93727",36.7585226,-119.7349125
105,Dayanara's Recycling Center,1805 Dairy Ave,Corcoran,93638,06031,(559) 474-6720,"1805 Dairy Ave Corcoran, CA 93638",36.0904726,-119.5715277
106,Dinuba Mini Mart Recycling,10014 S Alta Ave,Reedley,93654,06019,(559) 723-0104,"10014 S Alta Ave Reedley, CA 93654",36.5891971,-119.3947131
107,Dinuba Recycle Center,267 S Uruapan Way,Dinuba,93618,06107,(559) 596-1082,"267 S Uruapan Way Dinuba, CA 93618",36.5374553,-119.3906130
108,Discount General Merchandise,370 B St,Fresno,93636,06019,(559) 706-6399,"370 B St Fresno, CA 93636",36.7216413,-119.7921454
109,DMR Recycling,1461 N St,Firebaugh,93622,06019,(559) 903-8052,"1461 N St Firebaugh, CA 93622",36.8546570,-120.4533494
110,El Toro Iron & Metal Recycling,17641 Road 24,Madera,93638,06039,(559) 598-3429,"17641 Road 24 Madera, CA 93638",37.0062770,-120.1098300
111,EOC Local Conservation Corps Recycling at Friant Trading Post,17108 N Friant Rd,Friant,93626,06019,(510) 304-1435,"17108 N Friant Rd Friant, CA 93626",36.9829630,-119.7155489
112,Evas Recycling,4386 W Shields Ave,Fresno,93722,06019,(559) 519-8107,"4386 W Shields Ave Fresno, CA 93722",36.7793616,-119.8703817
113,Evergreen Recycling Co,2411 N Dinuba Blvd,Visalia,93291,06107,(559) 623-1090,"2411 N Dinuba Blvd Visalia, CA 93291",36.3511027,-119.2976581
114,Exeter Community Recycling Center,314 W Firebaugh Ave,Exeter,93221,06107,(559) 756-4135,"314 W Firebaugh Ave Exeter, CA 93221",36.2896974,-119.1421566
115,F & T Recycling,29424 Auberry Rd,Prather,93651,06019,(559) 299-8807,"29424 Auberry Rd Prather, CA 93651",37.0370138,-119.5172057
116,Fresno Recycling,1701 S Orange Ave,Fresno,93702,06019,(559) 264-6303,"1701 S Orange Ave Fresno, CA 93702",36.7256472,-119.7631985
117,GL Perez Inc,625 N Gateway Dr,Madera,93638,06039,(559) 416-7687,"625 N Gateway Dr Madera, CA 93638",36.9665942,-120.0658603
118,Gomez Recycling,517 S Main St,Pixley,93256,06107,(559) 920-0423,"517 S Main St Pixley, CA 93256",35.9684189,-119.2935187
119,I Buy Recycling,3232 E Ventura Ave,Fresno,93702,06019,(559) 706-4106,"3232 E Ventura Ave Fresno, CA 93702",36.7352084,-119.7703136
120,J J Recycling,23519 Robertson Blvd,Chowchilla,93610,06039,(559) 975-9680,"23519 Robertson Blvd Chowchilla, CA 93610",37.0908680,-120.2905259
121,J L Recycle Center,40344 Road 128,Cutler,93615,06107,(559) 528-3019,"40344 Road 128 Cutler, CA 93615",36.5222152,-119.2863458
122,Jerry & Willie's Recycling,40091 Enterprise Dr Ste F,Oakhurst,93644,06039,(559) 642-6444,"40091 Enterprise Dr Ste F Oakhurst, CA 93644",37.3313681,-119.6617742
123,Jesus Facility #2,12511 W G St,Biola,93606,06019,(559) 430-4096,"12511 W G St Biola, CA 93606",36.8018602,-120.0167868
124,Jorge Pereyra Recycling,1825 Academy Ave,Sanger,93657,06019,(916) 436-6117,"1825 Academy Ave Sanger, CA 93657",36.6915441,-119.5558086
125,Joyee's Recycling,1107 N Lake St,Madera,93638,06039,(559) 514-0291,"1107 N Lake St Madera, CA 93638",36.9748787,-120.0557237
126,Joyee's Recycling,140 N Chowchilla Blvd,Chowchilla,93610,06039,(559) 514-0291,"140 N Chowchilla Blvd Chowchilla, CA 93610",37.1261278,-120.2577575
127,K & A Recycling,23609 Pepper Ave,Terra Bella,93270,06107,(559) 202-6624,"23609 Pepper Ave Terra Bella, CA 93270",35.9591340,-119.0436463
128,KBJ Recycling,325 L St,Sanger,93657,06019,(559) 281-5501,"325 L St Sanger, CA 93657",36.7109600,-119.5555429
129,Kings Recycling,345 N 19Th Ave,Lemoore,93245,06031,(559) 904-8439,"345 N 19Th Ave Lemoore, CA 93245",36.3018831,-119.7993821
130,Kings Recycling,1798 N 10Th Ave,Hanford,93230,06031,(559) 232-7918,"1798 N 10Th Ave Hanford, CA 93230",36.3434054,-119.6373695
131,Kings View Recycling Center,100 Air Park Rd,Atwater,95301,06047,(209) 358-7228,"100 Air Park Rd Atwater, CA 95301",37.3340833,-120.5993071
132,La Mejor Inc,684 S Farmersville Blvd,Farmersville,93223,06107,(559) 901-1559,"684 S Farmersville Blvd Farmersville, CA 93223",36.2925753,-119.2067873
133,Libert Recycle Center,35442 Hwy 41 Ste B,Coarsegold,93614,06039,(559) 683-5447,"35442 Hwy 41 Ste B Coarsegold, CA 93614",37.2639816,-119.6929978
134,Lighthouse Rescue Mission Recycling,49 W Tulare Ave,Tulare,93274,06107,(559) 530-3740,"49 W Tulare Ave Tulare, CA 93274",36.2069103,-119.3476274
135,Los Botis Recycling,1217 9Th St,Sanger,93657,06019,(559) 694-1204,"1217 9Th St Sanger, CA 93657",36.7038767,-119.5542105
136,Los Botis Recycling #2,5789 Anthony Ave,Tranquility,93668,06019,(559) 694-1204,"5789 Anthony Ave Tranquility, CA 93668",36.6497816,-120.2525234
137,LTS Recycling,21727 W Manning Ave,San Joaquin,93660,06019,(559) 790-6056,"21727 W Manning Ave San Joaquin, CA 93660",36.6027561,-120.1837468
138,Manor Market,3100 W Line St,Bishop,93514,06027,(760) 873-4296,"3100 W Line St Bishop, CA 93514",37.3607468,-118.4367625
139,Mariposa Landfill Recycling Center,5593 Highway 49 N,Mariposa,95338,06043,(209) 966-5165,"5593 Highway 49 N Mariposa, CA 95338",37.5053296,-120.0047699
140,MAS Recycling,774 W Olive Ave,Porterville,93257,06107,(559) 781-9481,"774 W Olive Ave Porterville, CA 93257",36.0663633,-119.0346835
141,Mid Valley Recycling,9900 Stephens St,Delhi,95315,06047,(559) 706-3973,"9900 Stephens St Delhi, CA 95315",37.4327053,-120.7788835
142,Mid Valley Recycling,985 E Manning Ave,Reedley,93654,06019,(559) 706-3973,"985 E Manning Ave Reedley, CA 93654",36.6029549,-119.4595174
143,Molina's Recycling,1218 G St,Los Banos,93635,06047,(209) 829-9189,"1218 G St Los Banos, CA 93635",37.0604028,-120.8369725
144,Mondragon Recycling Center,12944 S Elm Ave,Caruthers,93609,06019,(559) 706-4930,"12944 S Elm Ave Caruthers, CA 93609",36.5479194,-119.7905084
145,Mondragon Recycling Center,5688 S Elm Ave,Fresno,93706,06019,(559) 706-4930,"5688 S Elm Ave Fresno, CA 93706",36.6529634,-119.7906249
146,Morales Recycling Center,32792 Road 124,Visalia,93291,06107,(559) 690-1182,"32792 Road 124 Visalia, CA 93291",36.3852716,-119.2964170
147,Osornio's Recycling Center,647 W El Monte Way #F,Dinuba,93618,06107,(559) 871-2667,"647 W El Monte Way #F Dinuba, CA 93618",36.5463448,-119.4007453
148,Paradise Recycling LLC,191 S Main St,Porterville,93257,06107,,"191 S Main St Porterville, CA 93257",36.0620292,-119.0166754
149,Penas Recycling Center,12094 Avenue 408,Cutler,93615,06107,(559) 528-1661,"12094 Avenue 408 Cutler, CA 93615",36.5310059,-119.3035895
150,Perez Recycling II,17068 Rd 26,Madera,93638,06039,(559) 681-1342,"17068 Rd 26 Madera, CA 93638",36.9972426,-120.0747986
151,Planet X Recycling,9075 E Hwy 140,Planada,95365,06047,(209) 410-8544,"9075 E Hwy 140 Planada, CA 95365",37.2950981,-120.3234380
152,Quezada Recycling Center,705 W H St,Los Banos,93635,06047,(559) 430-7757,"705 W H St Los Banos, CA 93635",37.0674724,-120.8599064
153,Quiroz Recycling,2507 Nebraska Ave,Selma,93662,06019,(559) 856-4892,"2507 Nebraska Ave Selma, CA 93662",36.5612762,-119.6202614
154,R R Recycling,316 E Kings St,Avenal,93204,06031,(805) 296-2286,"316 E Kings St Avenal, CA 93204",36.0023075,-120.1340568
155,Radius Recycling,2727 S Chestnut Ave,Fresno,93725,06019,(559) 233-3211x1508725,"2727 S Chestnut Ave Fresno, CA 93725",36.7015402,-119.7350030
156,Ramirez Recycling,737 S Lovers Ln,Visalia,93277,06107,(559) 623-3257,"737 S Lovers Ln Visalia, CA 93277",36.3239562,-119.2623783
157,Ramirez Recycling Center,32757 Rd 160,Ivanhoe,93235,06107,(559) 623-3257,"32757 Rd 160 Ivanhoe, CA 93235",36.3842653,-119.2156106
158,Ramirez Recycling Center,940 Park Blvd,Orange Cove,93646,06019,(559) 623-3257,"940 Park Blvd Orange Cove, CA 93646",36.6248519,-119.3171023
159,RB Recycling,1280 North H St,Tulare,93274,06107,(559) 991-8971,"1280 North H St Tulare, CA 93274",36.2253317,-119.3529072
160,RB Recycling,555 W Visalia Rd,Exeter,93221,06107,(559) 799-9513,"555 W Visalia Rd Exeter, CA 93221",36.2975020,-119.1494051
161,RB Recycling,115 S West St,Tulare,93274,06107,(559) 799-9513,"115 S West St Tulare, CA 93274",36.2058771,-119.3691321
162,RB Recycling,260 N Highway 65,Lindsay,93247,06107,(559) 799-9513,"260 N Highway 65 Lindsay, CA 93247",36.2022305,-119.1013391
163,RB Recycling,1845 W Tulare Ave,Tulare,93274,06107,(559) 799-9513,"1845 W Tulare Ave Tulare, CA 93274",36.2093322,-119.3730756
164,RB Recycling,765 N Harvard Ave,Lindsay,93247,06107,(559) 799-9513,"765 N Harvard Ave Lindsay, CA 93247",36.2120849,-119.0835855
165,RC Recycling,36240 Lassen Ave,Huron,93234,06019,(559) 772-9950,"36240 Lassen Ave Huron, CA 93234",36.2068717,-120.1031327
166,RC Recycling,14433 Road 192,Porterville,93257,06107,(559) 756-2967,"14433 Road 192 Porterville, CA 93257",36.0518529,-119.1434006
167,Recycle OXBA,3053 E Shields Ave,Fresno,93726,06019,(559) 673-6463,"3053 E Shields Ave Fresno, CA 93726",36.7810951,-119.7739084
168,Recycle Transfer Reuse Recyco Inc,4585 E Olive Ave,Fresno,93702,06019,(650) 634-8449,"4585 E Olive Ave Fresno, CA 93702",36.7581530,-119.7465002
169,Recycling Cabrera,700 S Plano St,Porterville,93257,06107,(559) 789-2961,"700 S Plano St Porterville, CA 93257",36.0797407,-119.0104068
170,Recycling of Reedley,640 E Dinuba Ave,Reedley,93654,06019,(559) 317-1659,"640 E Dinuba Ave Reedley, CA 93654",36.5900956,-119.4428591
171,Recycling of Reedley,920 N Alta Ave,Dinuba,93618,06107,(310) 474-6177,"920 N Alta Ave Dinuba, CA 93618",36.5532788,-119.3947832
172,Rios Recycling,452 Naples St,Mendota,93640,06019,(559) 647-4449,"452 Naples St Mendota, CA 93640",36.7577291,-120.3818468
173,Rios Recycling,1639 N St,Firebaugh,93622,06019,(559) 647-4449,"1639 N St Firebaugh, CA 93622",36.8521454,-120.4513049
174,Rios Recycling,105 Baker St,Coalinga,93210,06019,(559) 647-4449,"105 Baker St Coalinga, CA 93210",36.1449212,-120.3546529
175,Salinas Recycling,2965 Whitson St,Selma,93662,06019,(559) 513-3162,"2965 Whitson St Selma, CA 93662",36.5773614,-119.6261243
176,Salinas Recycling,3706 Mccall Ave,Selma,93662,06019,,"3706 Mccall Ave Selma, CA 93662",36.5878191,-119.6096632
177,Salinas Recycling,1368 Church St,Sanger,93657,06019,(559) 213-5449,"1368 Church St Sanger, CA 93657",36.7080060,-119.5559652
178,Sanchez Recycle LLC,22012 E Manning Ave,Reedley,93654,06019,(559) 593-3088,"22012 E Manning Ave Reedley, CA 93654",36.6057119,-119.3936380
179,Sanchez Recycle LLC,850 I St,Reedley,93654,06019,(559) 593-3088,"850 I St Reedley, CA 93654",36.5973594,-119.4551329
180,Sandoval Recycling,5471 7Th St,Keyes,95328,06099,(209) 984-6157,"5471 7Th St Keyes, CA 95328",37.5556772,-120.9147294
